,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Spectacles,Age_Range,Washer_No,Dryer_No,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
1050,01/01/2016,10:49:05,foreigner,male,fat,yes,toddler,small,white,casual,black,short_sleeve,red,long,blankets,no,22,4,10,46,5,7,3.11683779,101.7467821,3
993,01/01/2016,18:16:02,malay,male,fat,yes,toddler,small,pink,casual,purple,short_sleeve,black,short,blankets,yes,24,3,7,58,3,20,3.107148746,101.5605944,3
852,01/01/2016,1:40:55,malay,male,fat,no,no_kids,small,white,casual,black,short_sleeve,green,short,blankets,no,49,6,8,51,1,13,3.071795833,101.6507784,3
2723,01/01/2016,23:15:19,malay,female,fat,yes,baby,big,blue,formal,pink,long sleeve,blue,short,clothes,no,40,4,10,53,1,8,2.942248354,101.6891296,3
3753,01/01/2016,22:13:37,indian,female,moderate,yes,toddler,big,red,casual,white,short_sleeve,green,long,clothes,no,32,3,7,36,4,13,2.914358066,101.7240908,2
1257,01/01/2016,7:27:54,indian,female,fat,yes,young,small,white,traditional,black,long sleeve,grey,short,blankets,no,53,3,7,46,2,14,3.135548477,101.6109459,3
2647,01/01/2016,3:22:29,chinese,female,fat,yes,toddler,small,orange,formal,orange,long sleeve,brown,long,clothes,no,27,5,7,25,3,9,3.072955739,101.7014659,1
2971,01/01/2016,15:37:51,malay,female,thin,yes,baby,small,yellow,formal,black,short_sleeve,blue,long,blankets,no,26,4,9,28,3,16,3.152716178,101.7188929,3
3552,01/01/2016,6:57:25,malay,male,fat,no,no_kids,big,red,formal,grey,short_sleeve,purple,long,clothes,yes,51,3,7,25,5,9,2.93922722,101.7097454,3
3535,01/01/2016,1:03:37,foreigner,female,thin,yes,young,small,grey,traditional,black,short_sleeve,black,short,clothes,yes,41,4,7,20,1,10,2.935683436,101.6870614,2
